run_id,exp,model,variant,mode,partition,alpha,seed,n_params,rounds,final_accuracy,final_f1_macro,final_f1_weighted,best_accuracy,bytes_per_round_uplink_per_client,total_uplink_bytes
e1_botiot_multiclass_mlp_h32__dir0.1__seed23,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,23,1445,50,0.7747818995131355,0.7475833962681315,0.710630259334922,0.7774015767491288,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed29,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,29,1445,50,0.8553740454242147,0.6851224307935406,0.8466036018010782,0.8608605392580876,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed31,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,31,1445,50,0.8693374193707832,0.8401614538542264,0.8646751245749322,0.86993055383931,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed37,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,37,1445,50,0.8028075031510269,0.6294847177637353,0.7778522573261193,0.8057237476212836,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed42,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,42,1445,50,0.9145144947235746,0.7364857102452186,0.9100730423414214,0.9145144947235746,5780,2890000
e1_botiot_multiclass_mlp_h32__dir0.1__seed43,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,0.1,43,1445,50,0.9174307391938314,0.7387674161161958,0.9128925390062474,0.9176037367471517,5780,2890000
e1_botiot_multiclass_mlp_h32__dir1.0__seed2024,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,1.0,2024,1445,50,0.9310728319699478,0.93375130059922,0.9313837040197472,0.9310728319699478,5780,2890000
e1_botiot_multiclass_mlp_h32__dir1.0__seed2026,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,1.0,2026,1445,50,0.9289474334577268,0.9326935129744107,0.9292871367956502,0.9289474334577268,5780,2890000
e1_botiot_multiclass_mlp_h32__dir1.0__seed42,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,dirichlet,1.0,42,1445,50,0.9304549835652325,0.9342732205929021,0.9308428723718879,0.9305538393099869,5780,2890000
e1_botiot_multiclass_mlp_h32__iid__seed2024,e1_botiot_multiclass_mlp_h32,mlp,mlp_h32,multiclass,iid,,2024,1445,50,0.9317153943108519,0.9347996347098928,0.9320190666697216,0.9317153943108519,5780,2890000
